"","country","Community Type","Treats water with acceptable method","Boil","Bleach","Filter","SolarDisinfection","Strain","More than 30 minutes","SurveyYear","Piped onto premises","Female Under 15","Mean Household Size","Female Over 15","Female Any Age","Type","LetStand","Any_water_treatment","Multiple_water_treatment"
"11","Algeria","Total",7.0939112748745,1.01614093068821,6.19403255293274,0.207228020383706,0.00495542635118142,0.270920480454761,NA,2019,55.7427481687247,NA,NA,NA,NA,"MICS",0.300869663450508,7.55478682617293,0.389598555389518
"12","Angola","Total",32,10.7,24.5,0.2,0.2,NA,15.6,2015,14,NA,4.8,NA,NA,"DHS",NA,NA,NA
"13","Angola","Total",32,10.7,24.5,0.2,0.2,NA,15.6,2015,14,NA,4.8,NA,NA,"DHS",NA,NA,NA
"14","Armenia","Total",5.4,4.4,0,1,0,0.1,0.1,2016,96.3,NA,3.5,NA,NA,"DHS",NA,NA,NA
"15","Armenia","Total",5.4,4.4,0,1,0,0.1,0.1,2016,96.3,NA,3.5,NA,NA,"DHS",NA,NA,NA
"16","Azerbaijan","Total",69.7,69.3,0.1,1.4,0.1,3.1,4.4,2006,53.7,NA,4.1,NA,NA,"DHS",NA,NA,NA
"17","Azerbaijan","Total",69.7,69.3,0.1,1.4,0.1,3.1,4.4,2006,53.7,NA,4.1,NA,NA,"DHS",NA,NA,NA
"18","Bangladesh","Urban",30.7199166960017,21.3691129319347,0.648834803948581,16.0523056461011,0.0127318376988778,5.92634188197327,NA,2019,34.5337827620274,NA,NA,NA,NA,"MICS",0.24101268084143,31.3235432765507,11.5109853109871
"19","Bangladesh","Rural",3.55736739137848,0.493143288597784,0.294335197762544,2.96762485284609,0.00399893151795567,0.890259846351813,NA,2019,3.69729915148993,NA,NA,NA,NA,"MICS",0.478314870509321,4.43588932133602,0.401587748681906
"20","Bangladesh","Total",9.57353797795449,5.11691380166683,0.372852500382833,5.86572071418424,0.00593316282709334,2.00569007620637,NA,2019,10.5272009994574,NA,NA,NA,NA,"MICS",0.425755354184148,10.3911739690796,2.86218266926052
"21","Belize","Urban",8.43116865038183,4.84867370364971,2.7460355625087,1.27428445289513,0,0.775539111090934,NA,2016,19.1443110475206,1.97134238388582,NA,22.6566151713216,24.6279575552075,"MICS",0.306171621096813,9.23270483915098,0.780584917703018
"22","Belize","Rural",17.6843162471007,6.4639451848676,10.0031760963753,2.14656867147675,0.118718461010915,1.99217166630735,NA,2016,31.7117524119055,0,NA,37.4721732710577,37.4721732710577,"MICS",0.46777475891671,19.2150862814886,1.92425380476363
"23","Belize","Total",13.4121874413906,5.71818297240705,6.65259308689082,1.74383970838419,0.0639067818765466,1.43045891604842,NA,2016,25.9094318819813,0.722511599661219,NA,32.0421613816902,32.7646729813515,"MICS",0.393163453633051,14.6062741055628,1.39622799024634
"24","Benin","Urban",6.51671409424631,0.29566249988371,6.00208170863567,0.390572315435204,0.0873504736830191,0.983091430625939,NA,2022,22.3426387747733,NA,NA,NA,NA,"MICS",1.22968757040645,8.23847509353282,0.652838028079086
"25","Benin","Rural",5.80462201480532,0.182243774011213,5.52535504989734,0.181311042816889,0.0551762094689124,0.54720210850271,NA,2022,2.51997048499271,NA,NA,NA,NA,"MICS",0.876117385850389,7.28072126169877,0.353424840068936
"26","Benin","Total",6.11947496978064,0.232392093338857,5.73614070747284,0.273836338277973,0.0694021255469578,0.739931454994572,NA,2022,11.2846034120053,NA,NA,NA,NA,"MICS",1.03244915896327,7.70402192408378,0.485810987486255
"27","Bhutan","Total",78.34679573689,75.3059745981796,0.218028670375006,23.8250677521764,0.0933475937329293,1.62929472261437,NA,2010,82.5225490999952,2.73858759241438,NA,74.722881561135,77.4614691535494,"MICS",9.66523372932365,83.2616660995984,22.0662290748025
"28","Bolivia","Total",5.8,5,0.6,0.1,0.3,0.4,0.7,2008,78.7,NA,3.9,NA,NA,"DHS",NA,NA,NA
"29","Bolivia","Total",5.8,5,0.6,0.1,0.3,0.4,0.7,2008,78.7,NA,3.9,NA,NA,"DHS",NA,NA,NA
"30","Bosnia and Herzegovina","Urban",2.87803572320166,2.26943121040798,0.142955868552222,0.541806970809567,NA,0.0997152387222443,NA,2012,90.9493613226213,0,NA,31.770744710315,31.770744710315,"MICS",NA,2.89710269599771,0.175873565290355
